Company,Country,Telephony,3Ltr
SOUTH PACIFIC AIRLINES,CHINA,PARADISE,SOU
SOUTH PACIFIC EXPRESS HOLDINGS LIMITED,SAMOA,SOUTHPAC EXPRESS,SXP
"SOUTH PACIFIC ISLAND AIRWAYS, INC.",UNITED STATES,SOUTH PACIFIC,SPI
SOUTH WESTERN HELICOPTERS LTD,UNITED KINGDOM,ELECTRICITY,...
"SOUTHEAST AIR, INC. (NEW BEDFORD, MA)",UNITED STATES,SOUTHEAST AIR,SEA
"SOUTHEAST AIRMOTIVE CORP. (CHARLOTTE, NC)",UNITED STATES,SPUTTER,SPU
"SOUTHEAST CORRECT CRAFT, INC. (ORLANDO, FL)",UNITED STATES,SOUTH COURIER,SOT
SOUTHERN AIR CHARTER,BAHAMAS,SOUTH AIRCHARTER,SOA
"SOUTHERN AIR, INC. (COLUMBUS, OH)",UNITED STATES,SOUTHERN AIR,SOO
"SOUTHERN CROSS AVIATION INC., LLC",UNITED STATES,SOUTHERN FLIGHT,SXF
"SOUTHERN CROSS AVIATION, INC. (CAMARILLO, CA)",UNITED STATES,FERRY,SXA
SOUTHERN CROSS INTERNATIONAL,NETHERLANDS,SOUTHERN CROSS,SXI
"SOUTHERN ILLINOIS UNIVERSITY D/B/A FLIGHT SCHOOL (MURPHYSBORO, IL)",UNITED STATES,CARBONDALE,CBN
"SOUTHERN JERSEY AIRWAYS, INC. (ATLANTIC CITY, NJ)",UNITED STATES,ACOM,ALC
"SOUTHERN JET CO, LTD",CHINA,SOUTHERN JET,HNJ
"SOUTHERN OHIO AVIATION SALES CO. (W. CARROLLTON, OH)",UNITED STATES,SOUTHERN OHIO,SOH
"SOUTHERN SEAPLANE, INC. (BELLE CHASSE, LA)",UNITED STATES,SOUTHERN SKIES,SSC
SOUTHERN SKY,KAZAKHSTAN,SKY SOUTH,SRS
SOUTHWEST AIRCRAFT CHARTER,UNITED STATES,CACTUS,CAK
"SOUTHWEST AIRLINES CO. (SAN ANTONIO, TX)",UNITED STATES,SOUTHWEST,SWA
SOUTHWIND AIRLINES,TURKEY,MOON STAR,STW
SOVEREIGN BUSINESS JETS LTD,UNITED KINGDOM,REDHAWK,RHK
SPACE WORLD AIRLINE,NIGERIA,SPACE WORLD,SPF
SPANAIR,SPAIN,SPANAIR,JKK
SPARFELL LUFTFAHRT GMBH,AUSTRIA,LAUDA RUSH,LDX
SPARFELL MALTA LTD,MALTA,SPARFELL,QFX
"SPARTAN EDUCATION, LLC DBA SPARTAN COLLEGE OF AERONAUTICS AND TECHNOLOGY",UNITED STATES,SKELLY,SCU
"SPASA (SERVICIOS POLITECNICOS AEREOS, S.A.)",SPAIN,SALDUERO,SPS
SPEC ENERGY,SAN MARINO,SPEC WINGS,SGC
"SPECIAL AVIATION SYSTEMS, INC. (LEIPSIC, OH)",UNITED STATES,SPECIAL SYSTEM,SYV
"SPECIAL DETACHMENT - RUSSIA, FEDERAL STATE BUDGET INSTITUTION",RUSSIAN FEDERATION,STATE AERO,RSD
SPECIAL HANDLING SERVICE FOR AIRCRAFT,,,XHA
SPECIAL PURPOSE AVIATION OPERATOR-SAO,BULGARIA,BULGARIAN,BGF
SPECSAVERS AVIATION LTD,UNITED KINGDOM,SPECSAVERS,SSZ
SPECTREM AIR LTD,SOUTH AFRICA,SPECDAS,CDS
"SPECTRUM AIR SERVICE, INC. (LEAGUE CITY, TX)",UNITED STATES,,XSA
SPECTRUM AVIA,RUSSIAN FEDERATION,,ECV
SPECTRUM AVIATION,UNITED KINGDOM,SPECTRUM,SPJ
SPECTRUM AVIATION INCORPORATED,UNITED KINGDOM,AIR TONY,LSP
SPEED FLY,SPAIN,DRACO,SFD
SPEEDWINGS EXECUTIVE JET GMBH,AUSTRIA,SPEEDWING,SPG
SPICEJET,INDIA,SPICEJET,SEJ
"SPIRIT AIRLINES, INC. (EASTPOINTE, MI)",UNITED STATES,SPIRIT WINGS,NKS
"SPIRIT JETS, LLC (CHESTERFIELD, MO)",UNITED STATES,SPIRIT JET,SJJ
SPIRIT OF AFRICA AIRLINES,SUDAN,BLUE NILE,SDN
SPORAVIA S.L.,SPAIN,SPORAVIA,SPO
SPORTSMAN'S LLC. / SWAMP FOX LLC.,UNITED STATES,SWAMP FOX,SFX
"SPRAGUE ELECTRIC CO. (NORTH ADAMS, MA)",UNITED STATES,SPRAGUE,SPE
SPREE FLUG LUFTFAHRT GMBH,GERMANY,COLORSKY,SFG
"SPRING AIRLINES CO., LTD",CHINA,AIR SPRING,CQH
"SPRING JAPAN CO., LTD.",JAPAN,JEY SPRING,SJO
SPRING JET LIMITED,CHINA,SPRING JET,SZJ
SPRINGBOK CLASSIC AIR,SOUTH AFRICA,SPRING CLASSIC,SPB
"SPRINGFIELD AIR (KANSAS CITY, MO)",UNITED STATES,ICE BRIDGE,IBG
SPRINGJET S.A.,PORTUGAL,SKY FLYER,HFY
SPRINTAIR CARGO SP. Z.O.O.,POLAND,SPRINTAIR CARGO,SAR
SPRINTAIR SA,POLAND,SPRINTAIR,SRN
SPURWING AIRLINES (PTY) LTD,SOUTH AFRICA,SPURWING,PUR
SR JET CO. LTD.,CHINA,SPARKLE ROLL,QSR
SRILANKAN AIRLINES,SRI LANKA,SRILANKAN,ALK
SRIRACHA AVIATION CO. LTD.,THAILAND,KABIN,KBN
"SRIWIJAYA AIR, PT.",INDONESIA,SRIWIJAYA,SJY
ST BARTH EXECUTIVE,FRANCE,SEA BARTH,STB
ST. ATHAN MU,UNITED KINGDOM,SAINT ATHAN,STN
ST. MAARTEN AIRWAYS,NETHERLANDS,SAINT MAARTEN,SXM
ST. VINCENT GRENADINES AIR (1990) LIMITED,SAINT VINCENT AND THE GRENADINES,GRENADINES,SVD
STABO AIR LIMITED,ZAMBIA,STABAIR,SBO
STABO FREIGHT LIMITED,ZAMBIA,STABO,SOB
STAPLEFORD FLIGHT CENTRE,UNITED KINGDOM,STAPLEFORD,STL
STAR AIR CARGO (PTY) LTD,SOUTH AFRICA,BRIGHTSTAR,BRH
STAR AIR M/S,PAKISTAN,STARAV,URJ
"STAR AIR, M/S GHODAWAT ENTERPRISES PVT. LTD.",INDIA,HI STAR,SDG
STAR AVIATION PVT. LTD,INDIA,STAR INDIA,SVP
STAR AVIATION SPA,ALGERIA,STAR AVIATION,DST
STAR EAST AIRLINE,ROMANIA,EAST RIDER,SEK
STAR FLY WINGS,SERBIA,FAST STAR,SYW
STAR FLYER INC,JAPAN,STARFLYER,SFJ
"STAR JET CO., LTD",CHINA,SHINING,CHJ
STAR UP S.A.,PERU,STAR-UP,SRU
"STAR WEST AVIATION (EVANSTON, WY)",UNITED STATES,SUNSTAR,SUU
STAR WORK SKY,ITALY,STAR WORK,SWP
STARGATE AVIATION CC,SOUTH AFRICA,STARGATE,SGT
"STARLIGHT AIRLINE STP, S.A.",SAO TOME AND PRINCIPE,STARLIGHT CARGO,SLT
STARLINK AVIATION,CANADA,STARLINK,TLK
STARLITE AVIATION PTY LTD,SOUTH AFRICA,STARSTREAM,TRL
"STARLUX AIRLINES CO., LTD",CHINA,STARWALKER,SJX
STARS AIRWAYS,SYRIAN ARAB REPUBLIC,STARS AIRWAYS,FOZ
STARS AWAY AVIATION,SOUTH AFRICA,STARSAWAY,STX
"STARS DE MEXICO, S.A. DE C.V.",MEXICO,TARMEX,SRM
"STARSHIP, S.A. DE C.V.",MEXICO,STARSA,HIP
STARSPEED LTD,UNITED KINGDOM,STARSPEED,SSP
"STARWINGS DORTMUND LUFTFAHRTGESELLSCHAFT MBH, DORTMUND",GERMANY,STARTREK,STQ
STATE AIR COMPANY BERKUT,KAZAKHSTAN,,BEC
STATE AIR TRAFFIC SERVICE ENTERPRISE,UKRAINE,AIRRUH,UTS
STATE ATM CORPORATION,RUSSIAN FEDERATION,RUSSIA CORP,OVD
"STATE FLIGHT ACADEMY OF UKRAINE, THE",UKRAINE,FLIGHT ACADEMY,UFA
"STATE OF WEST VIRGINIA, AVIATION DIVISION (CHARLESTON, WV)",UNITED STATES,BLACK BEAR,BKB
"STATE UNITARY ENTERPRISE ORENBURG REGION, INTERNATIONAL AIRPORT ORENBURG",RUSSIAN FEDERATION,ORENAVIA,ORG
STEELMAN AVIATION INC,UNITED STATES,AIRSMART,XSM
STELLA AVIATION,MAURITANIA,AVISTELLA,SLV
STEPHENS INVESTMENTS HOLDINGS,UNITED STATES,ROCKTOWN,RKK
STERLING AIR A/S,DENMARK,STERLING,SNB
STERLING AVIATION LLC,UNITED STATES,NORTH-SHORE,NSH
STERNA LINHAS AREAS LTDA.,BRAZIL,STERNA,STR
STICHTING VLIEGSCHOOL 16HOVEN,NETHERLANDS,SMART,VGS
STOBART AIR,IRELAND,STOBART AIR,STK
STOBART AIR SERVICES UK LIMITED,UNITED KINGDOM,LIVERBIRD,VVD
STORM HELIWORKS,SWEDEN,STORM,HWS
STP AIRWAYS,SAO TOME AND PRINCIPE,SAOTOME AIRWAYS,STP
STRAIT AIR (2000) LTD,CANADA,NANUCK,NUK
STRATO AIR SERVICES,SOUTH AFRICA,STRATO,SRZ
STREAM AIR,RUSSIAN FEDERATION,POTOK,VPT
STREAMLINE NAC,SOUTH AFRICA,SLIPSTREAM,SLE
"STREAMLINE OPS, CJSC",RUSSIAN FEDERATION,SLOPS,STO
SU AIRLINES,GAMBIA,SU AIRLINES,SUE
SUASA AIRLINES SDN BHD,MALAYSIA,SUASA AIR,SSB
"SUBURBAN AIR FREIGHT, INC. (OMAHA, NE)",UNITED STATES,SUB AIR,SUB
SUDAN AIRWAYS,SUDAN,SUDANAIR,SUD
SUDAN PEZETEL FOR AVIATION,SUDAN,SUDANA,SDZ
SUDANESE AERONAUTICAL SERVICES CO. LTD (SASCO AIRLINES),SUDAN,SASCO,SAC
SUDANESE STATES AVIATION CO. LTD,SUDAN,SUDANESE,SNV
SUMMIT AIR LTD.,CANADA,SUMMIT,SUT
"SUMMIT AIRLINES (PHILADELPHIA, PA)",UNITED STATES,SUMMIT-AIR,SMM
"SUMMIT AVIATION, INC",UNITED STATES,YELLOWSTONE,YEL
SUN AIR,EGYPT,,SUR
SUN AIR BULGARIA,BULGARIA,SUNNY,BGS
SUN AIR CO.,SUDAN,SUN GROUP,SNR
"SUN AIR EXPRESS, LLC (FT. LAUDERDALE, FL)",UNITED STATES,FRIENDLY,FDY
"SUN AIR JETS (MCCLELLAN, CA)",UNITED STATES,SUN JOURNEY,SJE
SUN AIR LIMITED LIABILITY COMPANY,VIET NAM,SUN AIR,SAV
"SUN JET INTERNATIONAL, INC. D/B/A SOUTHEAST AIRLINES (LARGO, FL)",UNITED STATES,SUN KING,SNK
"SUN PACIFIC INTERNATIONAL, INC. (TUCSON, AZ)",UNITED STATES,SUN PACIFIC,SNP
"SUN QUEST EXECUTIVE AIR CHARTER, INC. (PACOIMA, CA)",UNITED STATES,EXECU-QUEST,SNQ
"SUN RITZ JET CO., LTD",CHINA,RITZ JET,RZT
"SUN WEST AIRLINES (SCOTTSDALE, AZ)",UNITED STATES,SUN WEST,SNW
SUN-AIR OF SCANDINAVIA A/S,DENMARK,SUNSCAN,SUS
SUNAIR,ISRAEL,MATZADA,SNF
SUNAIR AIR OLE S.L.,SPAIN,SUN-OLE,LEO
"SUNBIRD AIRLINES, INC. (CHARLOTTE, NC)",UNITED STATES,CAROLINA,CDL
SUNCLASS AIRLINES,DENMARK,VIKING,VKG
"SUNCOAST AVIATION, INC.(CLEARWATER, FL)",UNITED STATES,SUNCOAST,SNT
SUNCOR ENERGY INC.,CANADA,JETSUN,JSN
SUNDAIR GMBH,GERMANY,SUNDAIR,SDR
SUNDANCE AIR S.A.,VENEZUELA,DANCEAIR,SUV
"SUNDANCE AIR, INCORPORATED (DENVER, CO)",UNITED STATES,BARNACLE AIR,BNC
SUNDT AIR A/S,NORWAY,MIDNIGHT,MDT
SUNDT AIR MANAGEMENT,NORWAY,AKER,AKK
"SUNEXPRESS DEUTSCHLAND GMBH, FRANKFURT (MAIN)",GERMANY,SUNRISE,SXD
SUNFLOWER AIRLINES LIMITED,FIJI,SUNFLOWER,SUF
"SUNFLY, S.L.",SPAIN,,SUC
SUNKAR AIR,KAZAKHSTAN,SUNKAR,KAM
SUNLIGHT EXPRESS AIRWAYS,PHILIPPINES,SUNLIGHT,RLB
SUNLINE AIRLINES LTD,KENYA,SUNTRACK,JAM
"SUNRISE AIRLINES (PAGE, AZ)",UNITED STATES,SUNDANCE,SDC
"SUNRISE AIRLINES INC. D/B/A MILLON EXPRESS (MIAMI, FL)",UNITED STATES,MILLON EXPRESS,MXS
SUNRISE AIRWAYS,HAITI,,KSZ
"SUNSET AVIATION, LLC (PETALUMA, CA)",UNITED STATES,TWILIGHT,TWY
SUNSTATE AIRLINES (QLD) PTY,AUSTRALIA,SUNSTATE,SSQ
SUNWEST AVIATION LTD,CANADA,CHINOOK,CNK
SUNWING AIRLINES INC.,CANADA,SUNWING,SWG
"SUNWORLD INTERNATIONAL AIRWAYS, INC. (LAS VEGAS, NV)",UNITED STATES,SUNWORLD,SWI
"SUPARNA AIRLINES CO., LTD.",CHINA,YANGTZE RIVER,YZR
SUPER LEGACY XP LTD,SAN MARINO,POWER BLADE,SLS
SUPER LUZA,ANGOLA,LUZA,SLZ
"SUPERIOR AIR CHARTER DBA JETSUITE AIR (MEDFORD, OR)",UNITED STATES,RED STRIPE,RSP
SUPERIOR AIR S.A.,GREECE,SUPERIOR,SUQ
SUPERIOR AVIATION SERVICES LTD,KENYA,SKYCARGO,SUK
"SUPERIOR AVIATION, INC.(IRON MOUNTAIN/KINGSFORD, MI)",UNITED STATES,SPEND AIR,HKA
"SUPERIOR TRANSPORTATION ASSOCIATES, INC - DBA STAJETS",UNITED STATES,MISSION,KFB
SUPERNOVA AIRLINES LLC,UKRAINE,NOVA,NPG
SUPPORT HELICOPTER FORCE,UNITED KINGDOM,VORTEX,SHF
"SURAVIA, S.A.",SPAIN,,SUH
SURAVIATION S.L.,SPAIN,SURAVIATION,DSP
"SURF AIR (SANTA MONICA, CA)",UNITED STATES,SURFAIR,URF
SURIJET.COM INC.,SURINAME,SURIJET,SRJ
SURINAAMSE LUCHTVAART MAATSCHAPPIJ N.V.,SURINAME,SURINAM,SLM
SURINAM INTERNATIONAL VICTORY AIRLINE N.V.,SURINAME,SIVA,SWO
SURVEILLANCE AUSTRALIA P/L,AUSTRALIA,BORDER FORCE,BDF
SUWAIKET AVIATION,UNITED ARAB EMIRATES,ZAGEL,SWK
"SUZHOU AVIATION CO., LIMITED",CHINA,SUPERWINGS,CBW
SVENSK LUFTAMBULANS,SWEDEN,SWEDEMED,SWV
SVENSKT AMBULANSFLYG,SWEDEN,SWEDECARE,SWE
SVENSKT INDUSTRIFLYG AB,SWEDEN,TRADEWIND,JET
SW HELICOPTER SERVICES,AZERBAIJAN,HELIAZE,AZH
"SWALLOW AVIACION, S.L.",SPAIN,PARACA,PRK
SWANTON MORLEY (RAF),UNITED KINGDOM,SWANTON,SMX
SWEDISH ARMED FORCES,SWEDEN,SWEDEFORCE,SVF
SWIFT AIR,BAHRAIN,SWIFTLINE,SFL
SWIFT COPTERS SA,SWITZERLAND,SWIFTCOPTERS,WFC
SWIFTAIR HELLAS S.A.,GREECE,MED-FREIGHT,MDF
SWIFTAIR S.A.,SPAIN,SWIFT,SWT
SWISS AIR AMBULANCE LTD (HELICOPTER RESCUE GUARD),SWITZERLAND,REGA,RGA
SWISS AIR FORCE,SWITZERLAND,SWISS AIR FORCE,SUI
"SWISS AIR-AMBULANCE LTD., ZURICH",SWITZERLAND,SWISS AMBULANCE,SAZ
SWISS FLIGHT SERVICES,SWITZERLAND,TOPO,SFS
SWISS HELICOPTER AG,SWITZERLAND,HELISWISS,HSI
SWISS INTERNATIONAL AIR LINES LTD,SWITZERLAND,SWISS,SWR
SWISS PRIVATE JET SA,SWITZERLAND,LAKE,SWW
SWOOP INC.,CANADA,SWOOP,WSW
SYERSTON FTU,UNITED KINGDOM,SYERSTON,SYO
"SYLT AIR GMBH, SYLT-OST",GERMANY,SYLT AIR,AWU
SYNCRUDE CANADA LTD,CANADA,SYNCRUDE,SYN
SYNERGY AVIATION LTD,UNITED KINGDOM,SYNERGY,SYG
SYNESIS AVIATION,CYPRUS,SYNESIS,SYP
SYPHAXAIR,TUNISIA,SYPHAXAIR,SYA
SYRIAN ARAB AIRLINES,SYRIAN ARAB REPUBLIC,SYRIANAIR,SYR
"SYSTEC 2000, INC (WATERFORD, MI)",UNITED STATES,SYSTEC,SYC
"T3 AVIATION, INC.",UNITED STATES,STARFLEET,NCC
"T'WAY AIR CO., LTD",REPUBLIC OF KOREA,TEEWAY,TWB
"T-AIR, SPOL. S R.O.",CZECHIA,WINSKY,TTV
TA-AIR AIRLINE,IRAN (ISLAMIC REPUBLIC OF),TA-AIR,IRF
"TAAG, LINHAS AEREAS DE ANGOLA (ANGOLA AIRLINES)",ANGOLA,DTA,DTA
"TAB ASSOCIATES, INC. DBA ISLAND TYME",UNITED STATES,ISLAND TYME,ITM
TAB CHARTERS (PTY) LTD,SOUTH AFRICA,BLACKTAIL,BKT
"TAB EXPRESS INTERNATIONAL (DELAND, FL)",UNITED STATES,TAB INTERNATIONAL,TBI
TABAN AIRLINES,IRAN (ISLAMIC REPUBLIC OF),TABAN,TBN
TACA INTERNATIONAL AIRLINES S.A.,EL SALVADOR,TACA,TAI
"TADAIR, S.A.",SPAIN,TADAIR,TDC
"TAESPEJO PORTUGAL, LDA",PORTUGAL,TESABAN,TES
TAF HELICOPTERS S.A.,SPAIN,HELITAF,HET
TAF-LINHAS AEREAS S/A,BRAZIL,TAFI,TSD
TAFTAN AIRLINES,IRAN (ISLAMIC REPUBLIC OF),TAFTAN,SBT
TAG AVIATION (CAYMAN) SEZC,CAYMAN ISLANDS,TAG ISLAND,TCJ
TAG AVIATION (MALTA) LTD,MALTA,TAG MALTA,TEU
TAG AVIATION ASIA LIMITED,CHINA,TAG JET,TBJ
"TAG AVIATION ESPANA, S.A.",SPAIN,TAG ESPANA,TGM
TAG AVIATION SAN MARINO S.R.L.,SAN MARINO,TAGSPIRIT,TAG
TAG AVIATION UK LTD,UNITED KINGDOM,SOVEREIGN,VIP
TAG FARNBOROUGH AIRPORT LTD,UNITED KINGDOM,,FBO
"TAILWIND AIR, LLC",UNITED STATES,PEREGRINE,PGN
TAILWIND HAVAYOLLARI A.S.,TURKEY,TAILWIND,TWI
TAJIKAIR,TAJIKISTAN,TAJIKAIR,TJK
TAJIKISTAN,TAJIKISTAN,TAJIKISTAN,TZK
TAJIKISTAN INTERNATIONAL AIRLINES,TAJIKISTAN,TIL,TIL
TAJOUJ AVIATION,SUDAN,TAJA,TUJ
TALAIR PTY. LTD.,PAPUA NEW GUINEA,TALAIR,TAL
"TALON AIR, INC. (FARMINGDALE, NY)",UNITED STATES,TALON FLIGHT,TFF
TAM - LINHAS AEREAS S.A.,BRAZIL,TAM,TAM
TAM AVIACAO EXECUTIVA,BRAZIL,,TVE
TAMARA NIGER AVIATION,NIGER,TAMARA,TMR
TAMIR AIRWAYS LTD,ISRAEL,TAMIRWAYS,TMI
"TANANA AIR SERVICES (TANANA, AK)",UNITED STATES,TAN AIR,TNR
TANTALUS AIR LTD.,CANADA,TANTALUS,TTU
TAPJETS INC,UNITED STATES,TAPJETS,TJA
"TAQUAN AIR SERVICES, INC. (KETCHIKAN, AK)",UNITED STATES,TAQUAN,TQN
TAR INTERPILOT,MAURITANIA,INTERPILOT,TPL
TARA AIR LINE,IRAN (ISLAMIC REPUBLIC OF),TARAIR,IRR
TARCO AVIATION COMPANY LIMITED,SUDAN,AVIATION TARCO,TQQ
TARP AVIATION,RUSSIAN FEDERATION,ROLEMA,RLA
"TAS AVIATION, INC. (DEFIANCE, OH)",UNITED STATES,TASS AIR,RMS
"TASHKENTAIR, LLC",UZBEKISTAN,TASHKENT AIR,TSK
TASMAN CARGO AIRLINES PTY LTD,AUSTRALIA,TASMAN,TMN
TASSILI AIRLINES,ALGERIA,TASSILI AIR,DTH
TATA SIA AIRLINES LTD.,INDIA,VISTARA,VTI
"TATONDUK OUTFITTERS LTD D/B/A EVERTS AIR ALASKA / EVERTS AIR CARGO (FAIRBANKS, AK)",UNITED STATES,EVERTS,VTS
"TATRA JET, S.R.O.",SLOVAKIA,TATRA,TTJ
TAURANGA AERO CLUB (INC),NEW ZEALAND,,PGS
"TAXAIR MEXIQUENSES, S.A. DE C.V.",MEXICO,TAXAIR,TQE
"TAXI AEREO COZATL, S.A. DE C.V.",MEXICO,TAXI COZATL,TXL
TAXI AEREO DE MEXICO,MEXICO,TAXIMEX,TXM
"TAXI AEREO DE MORELIA, S.A. DE C.V.",MEXICO,TAXI MOREL,MOL
TAXI AEREO DE VERACRUZ,MEXICO,VERACRUZ,VRC
TAXI FLY GROUP S.A.,SPAIN,PRONAIR,PRJ
TAXIJET,SPAIN,LIFEJET,LJT
"TAXIS AEREOS DEL NOROESTE, S.A. DE C.V.",MEXICO,TAXINOROESTE,TNE
"TAXIS AEREOS DEL VALLE DE TOLUCA, S.A. DE C.V.",MEXICO,TAXIS TOLUCA,TVT
TAYARAN ALHILALL ALNFTTI,LIBYA,,HLN
TAYARAN JET,BULGARIA,ALADIN,TJB
TAYSIDE AVIATION LTD,UNITED KINGDOM,TAYSIDE,TFY
TBILISI AIRWAYS,GEORGIA,TBILISI,TBC
TCA JET CHARTERS,DOMINICAN REPUBLIC,,TJC
TCA LTD,GEORGIA,TOKA,TZS
TCHADIA AIRLINES,CHAD,TCHADIA,CDO
TEAM125,UNITED STATES,UNDERDOG,UDG
TEAM TRANSPORTES AEREOS,BRAZIL,TEAM BRASIL,TIM
"TECNICAS FOTOGRAFICAS, S.L.",SPAIN,TECFOTO,TEF
TECNOAVIACION,SPAIN,,TEB
TEHRAN AIRLINE,IRAN (ISLAMIC REPUBLIC OF),TEHRAN AIR,THR
"TELAVIA D/B/A FLIGHT ONE, INC. (TELLURIDE, CO)",UNITED STATES,TELLURIDE,TDE
TELECOMMUNICATION AUTHORITY,,,YTY
"TELEDYNE CONTINENTAL MOTORS (MUSKEGON, MI)",UNITED STATES,TELEDYN,TCM
"TELESIS TRANSAIR, INC. (DALLAS, TX)",UNITED STATES,TELESIS,TLX
"TELFORD AVIATION, INC. (WATERVILLE, ME)",UNITED STATES,TELFORD,TEL
TEM ENTERPRISES D\B\A AVELO AIRLINES,UNITED STATES,AVELO,VXP
TEMPLE AVIACION S.L.,SPAIN,,TPV
"TEMPUS JETS, INC. (MAPLE, NC)",UNITED STATES,TEMPUS JETS,TPJ
"TEMSCO HELICOPTERS, INC. (KETCHIKAN, AK)",UNITED STATES,TEMSCO,TMS
TEN TENTHS LTD,UNITED KINGDOM,ROTARY,...
TENGERIYN ULAACH SHINE,MONGOLIA,SKY HORSE,TNL
"TENNESSEE AIR NATIONAL GUARD, 164TH AIRLIFT GROUP",UNITED STATES,,TNG
"TENNESSEE AIRWAYS (ALCOA, TN)",UNITED STATES,TENNESSEE,TEN
TENNESSEE VALLEY AUTHORITY (TVA),UNITED STATES,VALLEY,VLY
TERNHILL (RAF),UNITED KINGDOM,TERNHILL,THL
TERRA AVIA,REPUBLIC OF MOLDOVA,TERRAAVIA,TVR
TERRAKEA,MEXICO,TERRAKEA,USX
TERRIBLE HERBST INC.,UNITED STATES,TERRIBLES,TBL
"TERRITORIAL AIRLINES, INC. (SANTA FE, NM)",UNITED STATES,TERRI-AIRE,TER
"TEXAS NATIONAL AIRLINES (SAN ANTONIO, TX)",UNITED STATES,TEXAS NATIONAL,TXN
TEXEL AIR,BAHRAIN,TEXEL,XLR
TEZ JET AIRLINES,KYRGYZSTAN,TEZJET,TEZ
TFC FLUGBETRIEB UND -TECHNIK BERATUNGSGESELLSCHAFT MBH,GERMANY,GERMANAIR,LTU
"TFF GMBH, OSNABRUECK",GERMANY,CAMPUS,TFS
TG AVIATION LTD,UNITED KINGDOM,THANET,TGC
"THAI AIR ASIA CO., LTD",THAILAND,THAI ASIA,AIQ
"THAI AIRASIA X CO., LTD",THAILAND,EXPRESS WING,TAX
THAI AIRWAYS INTERNATIONAL LTD.,THAILAND,THAI,THA
THAI AVIATION ACADEMY,THAILAND,TAURUS,TAC
THAI AVIATION SERVICES LIMITED,THAILAND,THAI AVIATION,TSL
THAI EASTARJET,THAILAND,THAI STAR,ESS
THAI EXPRESS AIR CO. LTD.,THAILAND,EXPRESS AIR,TXZ
THAI FLYING SERVICE CO. LTD,THAILAND,THAI FLYING,TFT
"THAI LION MENTARI CO., LTD",THAILAND,MENTARI,TLM
THAI SMILE AIRWAYS,THAILAND,THAI SMILE,THD
THAI SUMMER AIRWAYS COMPANY LIMITED,THAILAND,THAI SUMMER,AST
"THAI VIETJET AIR JOINT STOCK CO., LTD.",THAILAND,THAIVIET JET,TVJ
THALAIR,FRANCE,TALJET,TLJ
"THE ARMY AVIATION HERITAGE FOUNDATION (HAMPTON, GA)",UNITED STATES,LEGACY,LEG
"THE LANCAIR COMPANY (BEND, OR)",UNITED STATES,LANCAIR,LCC
THE MITRE CORPORATION,UNITED STATES,,MIP
THE RED SEA AIR SERVICES COMPANY,SAUDI ARABIA,,RSG
"THE SKY, INC.",REPUBLIC OF KOREA,SPACE STAR,SFI
THE WEATHER COMPANY PTY (WEATHERZONE),AUSTRALIA,,WZA
THEBE INGENIERIA Y CONSULTORIA SA DE CV,MEXICO,AERO THEBE,IYC
THOMAS AIR,MONGOLIA,TAIMEN,TME
THOMAS COOK AIRLINES BALEARICS S.L.,SPAIN,SUNNYHEART,CTB
THOMAS COOK AIRLINES LTD,UNITED KINGDOM,THOMAS COOK,TCX
THREE POINT AVIATION,UNITED KINGDOM,CHIPPY,...
"THRO AVIATION, INC.",UNITED STATES,ZEN JET,XEN
THRUST FLIGHT,UNITED STATES,THRUST,TRF
THUNDER AIRLINES LTD,CANADA,AIR THUNDER,THU
THY HAVA KARGO TASIMACILIGI A.S.,TURKEY,TURKISH CARGO,TKC
THYRLUTHJONUSTAN,ICELAND,,IHS
"THYSSEN KRUPP AG, DUESSELDORF",GERMANY,BLUELINE,BLI
"TIANJIN AIR CARGO CO., LTD.",CHINA,TIANJIN CARGO,CTJ
"TIANJIN AIRLINES CO., LTD",CHINA,BO HAI,GCR
"TIANJIN JEPPESEN INTERNATIONAL FLIGHT COLLEGE CO., LTD",CHINA,CHAO FEI,CHF
"TIBET AIRLINES CO., LTD",CHINA,TIBET,TBA
"TICA AIR INTERNATIONAL, S.A. (AIR COSTA RICA)",COSTA RICA,TICA,RII
TIGER AIRWAYS,UNITED KINGDOM,BIG CAT,...
TIGER AIRWAYS AUSTRALIA PTY LTD,AUSTRALIA,TIGGOZ,TGG
TIGER CLUB,UNITED KINGDOM,TIGERCLUB,...
TIGER HELICOPTERS LTD,UNITED KINGDOM,TIGRIS,TIG
TIGERAIR TAIWAN CO. LD.,CHINA,SMART CAT,TTW
"TIGIN LTD. D/B/A NAVINC AIRLINES SERVICES (HONOLULU, HI)",UNITED STATES,,XNV
TIMBIS AIR SERVICES,KENYA,TIMBIS,TBS
TIME AIR,CZECHIA,TIME AIR,TIE
TITAN AIRWAYS LTD,UNITED KINGDOM,ZAP,AWC
TITAN AIRWAYS MALTA,MALTA,KAPOW,TMT
TITANFLY INTERNATIONAL,SAN MARINO,ARAMIS,AOC
TJS SAN MARINO,SAN MARINO,SAN MARINO,TSR
TL AVIATION GMBH,GERMANY,SPIRIT,TLI
"TLC AIR, INC. (CARROLTON, TX)",UNITED STATES,TEALSY,TLS
"TM AEROLINEAS, S.A. DE C.V.",MEXICO,TEME AIRLINES,WIN
TOJ AIRLINES,TAJIKISTAN,TOJ AIRLINE,TOJ
TOLL AVIATION PTY LTD,AUSTRALIA,TOLL EXPRESS,TFX
